Variable;Min;Mean;Max;NA_count;NA_percent
Clase; 1 ; 1.1 ; 2 ; -   ; -   
Des; 1 ; 1 ; 1 ; 513.037 ; 94.46 
Fex_c; 1.28 ; 66.61 ; 918.61 ; -   ; -   
Fex_dpto; 1.23 ; 66.78 ; 1740.31 ; -   ; -   
Ina; 1 ; 1 ; 1 ; 373.597 ; 68.79 
Li; 99544.84 ; 120361.88 ; 131125.57 ; -   ; -   
Lp; 167222.48 ; 271419.53 ; 303816.69 ; -   ; -   
Nper; 1 ; 4.25 ; 28 ; -   ; -   
Npersug; 1 ; 4.23 ; 28 ; -   ; -   
Oc; 1 ; 1 ; 1 ; 295.034 ; 54.32 
Oficio; -   ; 54.26 ; 99 ; 295.034 ; 54.32 
Orden; 1 ; 2.62 ; 28 ; -   ; -   
P5000; 1 ; 3.6 ; 98 ; -   ; -   
P5010; 1 ; 2.31 ; 15 ; -   ; -   
P5090; 1 ; 2.43 ; 6 ; -   ; -   
P5100; 98 ; 894312.22 ; 280.000.000 ; 524.122 ; 96.5 
P5130; 98 ; 480314.16 ; 600.000.000 ; 200.232 ; 36.87 
P5140; 20 ; 447099.93 ; 300.000.000 ; 342.877 ; 63.13 
P6020; 1 ; 1.53 ; 2 ; -   ; -   
P6040; -   ; 33.55 ; 110 ; -   ; -   
P6050; 1 ; 2.59 ; 9 ; -   ; -   
P6090; 1 ; 1.07 ; 9 ; 95.450 ; 17.57 
P6100; 1 ; 2 ; 9 ; 125.723 ; 23.15 
P6210; 1 ; 4.24 ; 9 ; 22.758 ; 4.19 
P6210s1; -   ; 6.18 ; 99 ; 95.450 ; 17.57 
P6240; 1 ; 2.58 ; 6 ; 95.450 ; 17.57 
P6426; -   ; 85.78 ; 948 ; 295.034 ; 54.32 
P6430; 1 ; 2.91 ; 9 ; 295.034 ; 54.32 
P6510; 1 ; 1.94 ; 9 ; 426.983 ; 78.62 
P6545; 1 ; 1.99 ; 9 ; 426.983 ; 78.62 
P6580; 1 ; 1.98 ; 9 ; 426.983 ; 78.62 
P6585s1; 1 ; 1.98 ; 9 ; 426.983 ; 78.62 
P6585s2; 1 ; 1.56 ; 9 ; 426.983 ; 78.62 
P6585s3; 1 ; 1.79 ; 9 ; 426.983 ; 78.62 
P6585s4; 1 ; 2 ; 9 ; 426.983 ; 78.62 
P6590; 1 ; 1.86 ; 9 ; 426.983 ; 78.62 
P6600; 1 ; 1.97 ; 9 ; 426.983 ; 78.62 
P6610; 1 ; 1.97 ; 9 ; 426.983 ; 78.62 
P6620; 1 ; 2 ; 9 ; 426.983 ; 78.62 
P6630s1; 1 ; 1.4 ; 2 ; 426.983 ; 78.62 
P6630s2; 1 ; 1.78 ; 2 ; 426.983 ; 78.62 
P6630s3; 1 ; 1.83 ; 2 ; 426.983 ; 78.62 
P6630s4; 1 ; 1.97 ; 2 ; 426.983 ; 78.62 
P6630s6; 1 ; 2 ; 2 ; 426.983 ; 78.62 
P6800; 1 ; 44.8 ; 130 ; 295.034 ; 54.32 
P6870; 1 ; 3.88 ; 9 ; 295.034 ; 54.32 
P6920; 1 ; 1.63 ; 3 ; 296.058 ; 54.51 
P7040; 1 ; 1.95 ; 2 ; 295.034 ; 54.32 
P7045; -   ; 13.33 ; 99 ; 530.864 ; 97.75 
P7050; 1 ; 4.06 ; 9 ; 530.864 ; 97.75 
P7090; 1 ; 1.91 ; 2 ; 295.034 ; 54.32 
P7110; 1 ; 1.56 ; 2 ; 521.397 ; 96 
P7120; 1 ; 1.05 ; 2 ; 521.397 ; 96 
P7150; 1 ; 1.59 ; 2 ; 483.728 ; 89.07 
P7160; 1 ; 1.14 ; 9 ; 483.728 ; 89.07 
P7310; 1 ; 1.89 ; 2 ; 513.037 ; 94.46 
P7350; 1 ; 2.05 ; 9 ; 516.467 ; 95.09 
P7422; 1 ; 1.83 ; 2 ; 516.467 ; 95.09 
P7472; 1 ; 1.99 ; 2 ; 373.597 ; 68.79 
P7495; 1 ; 1.91 ; 2 ; 95.450 ; 17.57 
P7500s2; 1 ; 1.37 ; 9 ; 502.052 ; 92.44 
P7500s3; 1 ; 1.94 ; 9 ; 502.052 ; 92.44 
P7505; 1 ; 1.79 ; 2 ; 95.450 ; 17.57 
P7510s1; 1 ; 1.54 ; 9 ; 449.208 ; 82.71 
P7510s2; 1 ; 1.96 ; 9 ; 449.208 ; 82.71 
P7510s3; 1 ; 1.69 ; 9 ; 449.208 ; 82.71 
P7510s5; 1 ; 1.99 ; 9 ; 449.208 ; 82.71 
P7510s6; 1 ; 1.85 ; 9 ; 449.208 ; 82.71 
P7510s7; 1 ; 1.87 ; 9 ; 449.208 ; 82.71 
Pet; 1 ; 1 ; 1 ; 95.450 ; 17.57 
