Variable,Min,Mean,Max,NA_count,NA_percent
Clase,1,1.1,2,0,0
Des,1,1,1,207671,94.55
Fex_c,1.61,55.61,909.29,0,0
Fex_dpto,1.64,55.19,1694.69,0,0
Ina,1,1,1,150730,68.62
Li,99544.84,120173.04,131125.57,0,0
Lp,167222.48,270957.7,303816.69,0,0
Nper,1,4.29,21,0,0
Npersug,1,4.27,21,0,0
Oc,1,1,1,119704,54.5
Oficio,1,54.59,99,119704,54.5
Orden,1,2.65,21,0,0
P5000,1,3.61,18,0,0
P5010,1,2.31,10,0,0
P5090,1,2.45,6,0,0
P5100,98,683430.99,90000000,212520,96.76
P5130,98,478146.93,800000000,79304,36.11
P5140,98,427517.22,150000000,140340,63.89
P6020,1,1.53,2,0,0
P6040,0,33.5,110,0,0
P6050,1,2.6,9,0,0
P6090,1,1.07,9,38817,17.67
P6100,1,2.04,9,50806,23.13
P6210,1,4.22,9,9169,4.17
P6210s1,0,6.14,99,38817,17.67
P6240,1,2.58,6,38817,17.67
P6426,0,86.63,900,119704,54.5
P6430,1,2.97,9,119704,54.5
P6510,1,1.95,9,174430,79.41
P6545,1,1.99,9,174430,79.41
P6580,1,1.98,9,174430,79.41
P6585s1,1,1.99,9,174430,79.41
P6585s2,1,1.56,9,174430,79.41
P6585s3,1,1.79,9,174430,79.41
P6585s4,1,2,9,174430,79.41
P6590,1,1.86,9,174430,79.41
P6600,1,1.96,9,174430,79.41
P6610,1,1.98,9,174430,79.41
P6620,1,2,9,174430,79.41
P6630s1,1,1.41,2,174430,79.41
P6630s2,1,1.77,2,174430,79.41
P6630s3,1,1.82,2,174430,79.41
P6630s4,1,1.97,2,174430,79.41
P6630s6,1,2,2,174430,79.41
P6800,1,44.59,130,119704,54.5
P6870,1,3.79,9,119704,54.5
P6920,1,1.65,3,120159,54.71
P7040,1,1.95,2,119704,54.5
P7045,0,13.29,98,214641,97.72
P7050,1,4.09,8,214641,97.72
P7090,1,1.91,2,119704,54.5
P7110,1,1.54,2,210947,96.04
P7120,1,1.04,2,210947,96.04
P7150,1,1.59,2,195349,88.94
P7160,1,1.13,9,195349,88.94
P7310,1,1.89,2,207671,94.55
P7350,1,2.05,9,209044,95.17
P7422,1,1.83,2,209044,95.17
P7472,1,1.99,2,150730,68.62
P7495,1,1.91,2,38817,17.67
P7500s2,1,1.36,9,203814,92.79
P7500s3,1,1.95,9,203814,92.79
P7505,1,1.8,2,38817,17.67
P7510s1,1,1.52,9,182926,83.28
P7510s2,1,1.96,9,182926,83.28
P7510s3,1,1.67,9,182926,83.28
P7510s5,1,1.99,9,182926,83.28
P7510s6,1,1.88,9,182926,83.28
P7510s7,1,1.88,9,182926,83.28
Pet,1,1,1,38817,17.67
