age_group,P6430,count,total,porcentaje
0-12,4,5,248075,0
0-12,6,93,248075,0.04
0-12,7,7,248075,0
12-18,1,797,248075,0.32
12-18,3,84,248075,0.03
12-18,4,1254,248075,0.51
12-18,5,4,248075,0
12-18,6,1467,248075,0.59
12-18,7,109,248075,0.04
12-18,8,131,248075,0.05
12-18,9,10,248075,0
18-24,1,13521,248075,5.45
18-24,2,220,248075,0.09
18-24,3,728,248075,0.29
18-24,4,9260,248075,3.73
18-24,5,160,248075,0.06
18-24,6,1282,248075,0.52
18-24,7,145,248075,0.06
18-24,8,456,248075,0.18
18-24,9,34,248075,0.01
24-65,1,76663,248075,30.9
24-65,2,12279,248075,4.95
24-65,3,6842,248075,2.76
24-65,4,93981,248075,37.88
24-65,5,7904,248075,3.19
24-65,6,4280,248075,1.73
24-65,7,368,248075,0.15
24-65,8,2492,248075,1
24-65,9,81,248075,0.03
65+,1,1102,248075,0.44
65+,2,264,248075,0.11
65+,3,318,248075,0.13
65+,4,9884,248075,3.98
65+,5,1015,248075,0.41
65+,6,528,248075,0.21
65+,7,76,248075,0.03
65+,8,229,248075,0.09
65+,9,2,248075,0
