age_group,P6430,count,total,porcentaje
0-12,4,0,295034,0
0-12,6,0,295034,0
0-12,7,0,295034,0
0-12,NA,97394,295034,0.33
12-18,1,0,295034,0
12-18,3,0,295034,0
12-18,4,0,295034,0
12-18,5,0,295034,0
12-18,6,0,295034,0
12-18,7,0,295034,0
12-18,8,0,295034,0
12-18,9,0,295034,0
12-18,NA,50266,295034,0.17
18-24,1,0,295034,0
18-24,2,0,295034,0
18-24,3,0,295034,0
18-24,4,0,295034,0
18-24,5,0,295034,0
18-24,6,0,295034,0
18-24,7,0,295034,0
18-24,8,0,295034,0
18-24,9,0,295034,0
18-24,NA,31466,295034,0.11
24-65,1,0,295034,0
24-65,2,0,295034,0
24-65,3,0,295034,0
24-65,4,0,295034,0
24-65,5,0,295034,0
24-65,6,0,295034,0
24-65,7,0,295034,0
24-65,8,0,295034,0
24-65,9,0,295034,0
24-65,NA,76273,295034,0.26
65+,1,0,295034,0
65+,2,0,295034,0
65+,3,0,295034,0
65+,4,0,295034,0
65+,5,0,295034,0
65+,6,0,295034,0
65+,7,0,295034,0
65+,8,0,295034,0
65+,9,0,295034,0
65+,NA,39635,295034,0.13
